Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1,-1.0,2,-1.0,2
2,0.0,22,-1.0,24
3,-4.0,14,-5.0,38
4,0.0,13,-5.0,51
5,0.0,11,-5.0,62
6,4.0,28,-1.0,90
7,0.0,16,-1.0,106
8,-5.166666666666666,42,-6.166666666666666,148
9,10.333333333333334,45,4.166666666666668,193
10,-4.0,32,0.16666666666666785,225
11,1.0,15,1.1666666666666679,240
12,-3.0,18,-1.8333333333333321,258
