Sentence,AFINN Score of Sentence,Sentence Word Count,Total AFINN Score,Total Words
1833,7.0,26,780.5637102327237,27429
1834,5.0,17,785.5637102327237,27446
1835,3.833333333333333,26,789.397043566057,27472
1836,-4.383333333333333,25,785.0137102327237,27497
1837,-1.8823529411764706,16,783.1313572915473,27513
1838,-1.166666666666667,53,781.9646906248806,27566
1839,-2.333333333333333,15,779.6313572915473,27581
1840,-1.0,27,778.6313572915473,27608
1841,-1.375,45,777.2563572915473,27653
1842,2.0,11,779.2563572915473,27664
1843,-0.8333333333333335,25,778.4230239582139,27689
1844,3.0,16,781.4230239582139,27705
1845,-0.25,5,781.1730239582139,27710
1846,-0.666666666666667,22,780.5063572915473,27732
1847,-0.9411764705882353,23,779.565180820959,27755
1848,0.30000000000000004,33,779.8651808209589,27788
1849,-1.0,24,778.8651808209589,27812
1850,1.9083333333333334,23,780.7735141542922,27835
1851,0.125,11,780.8985141542922,27846
1852,0.9999999999999998,45,781.8985141542922,27891
1853,2.0,16,783.8985141542922,27907
1854,1.0,16,784.8985141542922,27923
1855,2.0,28,786.8985141542922,27951
1856,7.0,12,793.8985141542922,27963
1857,5.0,7,798.8985141542922,27970
1858,1.25,4,800.1485141542922,27974
1859,0.0,3,800.1485141542922,27977
1860,-3.0,6,797.1485141542922,27983
1861,1.0,8,798.1485141542922,27991
1862,4.5,12,802.6485141542922,28003
1863,-1.0,11,801.6485141542922,28014
1864,-0.38888888888888884,24,801.2596252654033,28038
1865,1.1428571428571428,4,802.4024824082604,28042
1866,0.0,2,802.4024824082604,28044
1867,1.0,2,803.4024824082604,28046
1868,0.0,3,803.4024824082604,28049
1869,2.0,4,805.4024824082604,28053
1870,0,0,805.4024824082604,28053
1871,0,0,805.4024824082604,28053
1872,0,0,805.4024824082604,28053
1873,5.0,9,810.4024824082604,28062
1874,3.0,5,813.4024824082604,28067
1875,1.0,5,814.4024824082604,28072
1876,3.5,17,817.9024824082604,28089
1877,1.3333333333333333,8,819.2358157415938,28097
1878,0.0,1,819.2358157415938,28098
1879,5.0,10,824.2358157415938,28108
